"General_Location","exclude"
"SR_ChinaRapids","N"
"SR_BlwDryCk","N"
"SR_Abv_RBDD","N"
"SR_BlwGCID","N"
"SR_BlwIrvineFinch","N"
"SR_AbvChicoCk","N"
"BattleCk10","N"
"SR_JellysFerry","N"
"SR_BendBridge","N"
"SR_OrdBend","N"
"SR_BlwDeerCk","N"
"Mok_GeorgianaS","N"
"Mok_NorthFork","N"
"SR_AbvThomes","N"
"SR_BlwSutter","N"
"SR_ButteCityBr","N"
"SR_I-80/50Br","N"
"SR_Freeport","N"
"SR_Sutter_N","N"
"Georg_SloughN","N"
"SR_DCCNorth","N"
"SR_BlwSteam","N"
"SR_Ryde","N"
"SR_Blw_RBDD","N"
"Decker_IsS","N"
"SR_SteamboatS","N"
"SR_RioVista","N"
"Chipps Island","N"
"Golden Gate East Line","Y"
"Benicia Bridge","N"
"SR_AbvColusaBr","N"
"SR_Mouth","N"
"Carquinez Bridge","Y"
"SPBay10_2007","Y"
"SR_SutterSteam","N"
"SR_Steamboat","N"
"SPBuoy9/10","Y"
"SR_SutterSlough","N"
"SR_ElkSlough","N"
"SR_MeridianBr","N"
"SR_BlwMillCk","N"
"Richmond Bridge","N"
"Mar_Is","Y"
"SR_AbvFeather","N"
"FranksTractE","N"
"San Joaquin Delta","N"
"SJ_Antioch","N"
"SJ_PrisonersPt","N"
"Mok_Will_Berm_Mar","N"
"Georg_SloughS","N"
"Golden Gate West Line","Y"
"MinerSlough_S","N"
"OldRv","N"
"ThreeMile","N"
"FishermansCut","N"
"SR_RedBluff","N"
"SR_SturgeonHole","N"
"SR_NewCk","N"
"SR_AbvOrd","N"
"SR_BlwButte","N"
"SR_KnightsBr","N"
"SR_BlwChinaBend","N"
"SR_AbvTisdale","N"
"SR_AbvFeather1","N"
"SP_Buoy_9&10","Y"
"SJ_Blw_False","N"
"Antioch_Br","N"
"SJ_CurtisLanding","N"
"HorseshoeBend","N"
"SR_Blw_Ord","N"
"SJ_VulcanIs","N"
"FranksTractW","N"
"SP_Buoy_7&8","Y"
"Mok_PotatoS","N"
"Mok_Tower_Pk","N"
"SP_Petaluma_Channel","Y"
"SFPier33","Y"
"SR_AbvDeerCk","N"
"MinerSlough_N","N"
"Tracy_Fish_Facility","N"
"MiddleRv_Medford","N"
"MiddleRv","N"
"FR_Mouth","N"
"SR_DCC","N"
"Snod_Slough","N"
"SFPier30","Y"
"SFPier27","Y"
"Bay Bridge East","Y"
"ChippMontezuma","N"
"PortOakland","Y"
"Quimby","N"
"SJ_MedfordChannel","N"
"SJ_VeniceCut","N"
"SJ_LittleConnection","N"
"Mok_SouthFork","N"
"PotatoSlough","N"
"Rich_Point","Y"
"SR_Massacre_Flat","N"
"SR_Woodson_Temp","N"
"SR_AbvGCID","N"
"SR_BlwAntelopeCk","N"
"SR_AbvAntelopeCk","N"
"SR_AbvToomes","N"
"SR_Above_Freeport_2","N"
"SR_GarciaBend","N"
"SR_Above_SutterSlough","N"
"SR_Above_Freeport_1","N"
"SR_Elkhorn_1","N"
"SR_Elkhorn_2","N"
"SR_KnightsLanding","N"
"SR_Below_KnightsLanding","N"
"SR_Below_Freeport_1","N"
"SR_Below_Freeport_2","N"
"SR_Above_KnightsLanding_1","N"
"SR_BlwGeorgiana","N"
"SR_Above_Ryde","N"
"SR_Above_KnightsLanding_2","N"
"SR_DCCSouth","N"
"Georgiana_SloughN1","N"
"SR_Isleton","N"
"SR_Below_RioVista_Bridge","N"
"Alcatraz_Control","Y"
"SP_Array_2","Y"
"Martinez_Marina","N"
"MontezumaWest","N"
"SP_Control","Y"
"SP_Array_1","Y"
"MRGC","N"
"SandMound","N"
"Alcatraz","Y"
"FR_Beer_Can","N"
"FR_Verona","N"
"Point_Reyes","Y"
"Bay Bridge West","Y"
"Raccoon Straits","Y"
"Vallejo_Marina","Y"
"BattleCk09","N"
"BattleCk08","N"
"BattleCk06","N"
"BattleCk07","N"
"SR_BoulderHole","N"
"BattleCk04","N"
"BattleCk03","N"
"SR_BattleCk","N"
"BattleCk11","N"
"BattleCk02","N"
"Steam_Marina","N"
"SR_RM85","N"
"SR_RM92","N"
"SR_RM69","N"
"SR_RM72","N"
"CarSt01","Y"
"Decker_IsN","N"
"SP_Flats_Array","Y"
"SR_AbvSutterSteam","N"
"Sutter_Blw_Miner","N"
"ThreeMile2","N"
"SR_IstBridge","N"
"SR_Tower","N"
"SR_AbvAmerican","N"
"SR_BlwAmerican","N"
"SF9","Y"
"SR_SRWTPD_VPS","N"
"SR_Riverview_Marina","N"
"BattleCk01","N"
